Nom du lieu;Nom du porteur;Adresse mail;Type de porteur;Détail du type de porteur;Adresse;Code postal;Commune;Code INSEE;Numéro de téléphone;Site web;Descriptif;Logo;Photo;Public;Accès;Restrictions d'usage;Tarif(s);Horaires du lundi;Horaires du mardi;Horaires du mercredi;Horaires du jeudi;Horaires du vendredi;Horaires du samedi;Horaires du dimanche;Complément sur les horaires;Ordinateur(s);Tablette(s);Scanner(s);Imprimante(s);Borne(s) CAF;Connexion Wi-Fi;Complément sur les équipements;Formation;Accompagnement individuel;Fourniture d'équipement;Complément sur les services;Compte InfoLocale;Localisation;Clé;Date de saisie;Date d'enregistrement;Date de modification;Services;Équipements;Ordinateur(s) libellé;Tablette(s) libellé;Scanner(s) libellé;Imprimante(s) libellé;Borne(s) CAF libellé;Connexion Wi-Fi libellé;Formation libellé;Accompagnement individuel individuel libellé;Fourniture d'équipement libellé
Bibliothèque A Livre Ouvert;Bibliothèque A Livre Ouvert;bibliotheque@sainte-pazanne.com;Bibliothèque / Médiathèque;;32 avenue de la source;44680;Sainte-Pazanne;44186;0240026913;http://www.bibliotheque-sainte-pazanne.net/;;;;tout public;;;gratuit : étudiants et demandeurs d'emploi ▪ Consultations régulières + accès wifi : adhésion 8€/an ▪ Ateliers : 5€/atelier ou 30€ le forfait annuel (CC Coeur  Pays de Retz) - 10€/atelier (hors CC Coeur Pays de Retz);fermé;fermé;10h-12h30 14h-18h30;fermé;10h-12h30 16h-19h;10h-15h;fermé;;1;0;0;1;0;1;5 ordinateurs + 1 pour le catalogue;1;1;0;Cours d'initiation informatique : 1 animatrice uniquement le mardi de 10h à 12h;;47.102786, -1.803742;LX58-W3DV;2019-10-01T14:04:14+02:00;2019-10-01T14:04:14+02:00;2019-11-02T15:23:12+01:00;Formation,Accompagnement individuel;Ordinateur(s),Imprimante(s),Connexion Wi-Fi;Ordinateur(s);;;Imprimante(s);;Connexion Wi-Fi;Formation;Accompagnement individuel;
CCAS Le Croisic;CCAS Le Croisic;ccas@lecroisic.fr;Institution;;3 rue de la Duchesse Anne;44490;Le Croisic;44049;0228567900;https://www.loire-atlantique.fr/jcms/classement-des-contenus/lieux/par-types-de-lieu/service/centres-communaux-d-action-sociale-ccas/centre-communal-d-action-sociale-ccas-du-croisic-fr-t1_36195;Centre communal d'action sociale du Croisic.;index.png;;tout public;Lila ligne 6 vers Le cimetière (Le Croisic), arrêt L'aiguillon (Le Croisic).;;gratuit;8h30-12h 13h15-17h30;8h30-12h 13h15-17h30;8h30-12h 13h15-17h30;8h30-12h 13h15-17h30;8h30-12h 13h15-16h;fermé;fermé;;1;0;0;1;0;1;;0;1;0;;;47.294264, -2.513761;ASJN-HKGY;2019-11-02T15:25:13+01:00;2019-11-02T15:25:13+01:00;2019-11-02T15:25:20+01:00;Accompagnement individuel;Ordinateur(s),Imprimante(s),Connexion Wi-Fi;Ordinateur(s);;;Imprimante(s);;Connexion Wi-Fi;;Accompagnement individuel;
Caisse d'Allocations Familiales Clisson;Caisse d'Allocations Familiales;;Institution;;2 rue du Docteur Doussain;44190;Clisson;44043;0240540212;http://www.caf.fr/allocataires/caf-de-loire-atlantique/actualites;Relais CAF de Clisson;;;tout public;proche gare de Clisson;;gratuit;9h-12h15 14h-17h15;9h-12h15 14h-17h15;9h-12h15 14h-17h15;9h-12h15;9h-12h15 14h-17h15;fermé;fermé;;0;0;0;0;1;0;Agents d'accueils sur les horaires d'ouverture;0;1;0;Création de compte CAF et versement des prestations sociales.;;47.092043, -1.290544;4B7E-L9D5;2018-11-14T17:39:44+01:00;2018-11-14T17:39:44+01:00;2019-11-02T15:24:28+01:00;Accompagnement individuel;Borne(s) CAF;;;;;Borne(s) CAF;;;Accompagnement individuel;
Bureau de la Poste Bourgneuf-en-Retz;Maison des Services au Public;msap.bourgneuf-en-retz@laposte.fr;Institution;;16 rue de la Taillée;44580;Villeneuve-en-Retz;44021;0240214485;https://www.maisondeservicesaupublic.fr/;La MSAP se situe au Bureau de la Poste;;;tout public;;;gratuit;fermé;9h-12h 14h-16h45;9h-12h 14h-16h45;9h-12h 14h-16h45;9h-12h 14h-16h45;9h-12h;fermé;;1;0;0;1;0;0;;0;1;0;Hôtesse d'accueil guide et accompagne les usagers;;47.042412, -1.954083;3MQA-CH2Y;2019-11-02T15:23:37+01:00;2019-11-02T15:23:37+01:00;2019-11-02T15:24:10+01:00;Accompagnement individuel;Ordinateur(s),Imprimante(s);Ordinateur(s);;;Imprimante(s);;;;Accompagnement individuel;
Anim'Action;Annim'Action;accueil@animaction.asso.fr;Association;;27 rue de Pornic;44710;Port-Saint-Père;44133;0240315318;http://www.animaction.asso.fr/;;;;tout public;;;gratuit ou prix très réduit;9h-10h 16h-18h30;9h-10h 16h-18h30;9h-10h 16h-18h30;9h-10h 16h-18h30;9h-10h 16h-18h30;fermé;fermé;;1;0;0;1;0;1;;1;1;0;;;47.132637, -1.750284;ALAG-7ZAW;2019-11-02T15:21:28+01:00;2019-11-02T15:21:28+01:00;2019-11-02T15:21:37+01:00;Formation,Accompagnement individuel;Ordinateur(s),Imprimante(s),Connexion Wi-Fi;Ordinateur(s);;;Imprimante(s);;Connexion Wi-Fi;Formation;Accompagnement individuel;
CCAS Nantes;CCAS Nantes;;Institution;;1 bis place Saint Similien;44000;Nantes;44109;0240992700;https://www.nantes.fr/ccas;Le centre communale d'action sociale propose un ensemble de services pour faire face aux situations de précarité ou de difficultés sociales. Le public y est conseillé sur les droits sociaux, orienté vers les partenaires locaux ou directement pris en charge.;;;tout public;"tram ligne 3 - arrêt "" bretagne "" / tram ligne 2 - arrêt "" 50 otages"" / bus 12,23 et chronobus C2 - arrêt "" talensac """;;gratuit;10h-17h;10h-17h;10h-17h;10h-17h;10h-17h;fermé;fermé;;1;0;1;1;0;0;9 ordinateurs à disposition avec connexion internet. Entré en libre accès sous présentation d'une pièce d'identité. Limité à 40 minutes;1;1;0;"formations collectives avec la fondation ""Orange solidarité"" qui se charge de faire des cours d'informatique au sein du CCAS ( sous inscription ).";;47.220014, -1.55843;BUYA-S8FB;;;2019-11-02T15:26:47+01:00;Formation,Accompagnement individuel;Ordinateur(s),Scanner(s),Imprimante(s);Ordinateur(s);;Scanner(s);Imprimante(s);;;Formation;Accompagnement individuel;
Espace jeunes du Pouliguen;Mairie du Pouliguen;pointinfojeunesse@mairie-lepouliguen.fr;Institution;;4 rue Paul-Lesage;44510;Le Pouliguen;44135;0615209605;https://www.annuaire-administration.com/cij/point-information-jeunesse-du-pouliguen-cij-44135-01.html;Espace jeunes à  destination des 16-25 ans. Accès libre.;;;11-17 ans;Lila ligne 5 vers Océarium (Le Croisic), descendre à l'arrêt Gare SNCF.;;cotisation annuelle : 15€ pour les habitants / 20€ hors-commune;fermé;fermé;14h-18h;fermé;16h30-19h;"14h-19h
8h";fermé;Accueil ouvert de 14h à 19h pendant les vacances scolaires du lundi au vendredi.;1;0;1;1;0;1;;1;1;0;;;47.275773, -2.431049;LPQC-ZFCA;2019-11-02T15:46:21+01:00;2019-11-02T15:46:21+01:00;2019-11-02T15:46:29+01:00;Formation,Accompagnement individuel;Ordinateur(s),Scanner(s),Imprimante(s),Connexion Wi-Fi;Ordinateur(s);;Scanner(s);Imprimante(s);;Connexion Wi-Fi;Formation;Accompagnement individuel;
Médiathèque Saint Nicolas de Redon;Médiathèque Saint Nicolas de Redon;mediatheque-h.cadou@saintnicolasderedon.fr;Bibliothèque / Médiathèque;;2 place Tabago;44460;Saint-Nicolas-de-Redon;44185;0299711092;http://mediatheques.redon-agglomeration.bzh/index.php?option=com_content&view=article&id=69:saint-nicolas&catid=14:vos-mediatheques&Itemid=72;Espace de lecture et d'animation comprenant un point d'accès numérique.;;;tout public;;uniquement adhérents;14€ annuel / gratuit : -18 ans, étudiants, bénéficiaires minima sociaux et demandeurs d'emploi;fermé;16h-18h30;10h-12h 14h-18h30;16h-18h30;16h-18h30;9h30-12h30;fermé;Pendant les vacances scolaires ouverture à 14h30 le mardi et le vendredi au lieu de 16h.;1;0;0;0;0;1;;0;0;0;;;47.644166, -2.07093;DGM4-SVQW;2018-12-04T11:47:20+01:00;2018-12-04T12:04:43+01:00;2019-11-02T16:02:11+01:00;;Ordinateur(s),Connexion Wi-Fi;Ordinateur(s);;;;;Connexion Wi-Fi;;;
Mairie Machecoul;Point Numérique CAF;info@machecoul.fr;Institution;;5 place de l'auditoire;44270;Machecoul-Saint-Même;44087;0240023550;http://www.machecoul-saint-meme.fr/;Le point numérique CAF se situe dans le hall d'accueil de la mairie;;;tout public;;;gratuit;9h-12h 14h-17h;9h-12h 14h-17h;9h-12h 14h-17h;9h-12h 14h-17h;9h-12h 14h-17h;9h-12h;fermé;;1;0;0;1;1;0;;0;1;0;Hôtesses d'acceuil formées pour aider;;46.992397, -1.817506;XL3N-NX7H;2019-11-02T15:47:21+01:00;2019-11-02T15:47:21+01:00;2019-11-02T15:47:28+01:00;Accompagnement individuel;Ordinateur(s),Imprimante(s),Borne(s) CAF;Ordinateur(s);;;Imprimante(s);Borne(s) CAF;;;Accompagnement individuel;
Médiathéque Saint-Vincent-des-Landes;Communauté de commune de Derval;aurelie.genay@cc-chateaubriant-derval.fr;Bibliothèque / Médiathèque;;17 rue de la mairie;44590;Saint-Vincent-des-Landes;44193;0240282544;http://www.biblios-ccsd.net/;"- 2 places assises
- Table de travail
- 1 poste informatique
- Internet et outils de bureautique
- Mobilier adapté aux enfants";;;tout public;site de lilas;;gratuit;fermé;fermé;10h-12h;fermé;10h-12h;10h-13h;fermé;;1;0;0;0;0;1;;0;1;0;;;47.655456, -1.497925;UX8R-5WSP;2019-11-02T16:03:30+01:00;2019-11-02T16:03:30+01:00;2019-11-02T16:03:39+01:00;Accompagnement individuel;Ordinateur(s),Connexion Wi-Fi;Ordinateur(s);;;;;Connexion Wi-Fi;;Accompagnement individuel;
