	adresse	code_postal	horaires	lat	lng	nom_structure	services	telephone	ville
0	3 rue Anatole France	05400		44.5357607	5.8263265	Centre de Ressources des Hauts Pays Alpins	Organiser sa recherche d'emploi / Découverte et usage de l’emploi Store / Réalisation CV / Diffuser son CV en ligne / Utiliser des outils de cartographie / Organiser et partager sa veille / Utiliser et contribuer à Wikipedia / Découvrir et contribuer à OpenStreetMap / Créer, paramétrer et utiliser une liste de diffusion / Internet : déposer une annonce sur Le Bon Coin ou autre site de petites annonces / Images : retoucher ses photos / PAO : faire des présentations, des diaporamas / PAO : publier des présentations / diaporamas en ligne / Créer un site web avec WordPress / Découvrir et participer à des MOOCs / Découvrir et expérimenter la programmation informatique (code) / Services et plateformes de démocratie participative / Smartphone : Télécharger une application sur les stores / Smartphone : Réglage et configuration de l'appareil / Smartphone : Les applications clés / Smartphone : Les principaux gestes pour l'écran tactile / Smartphone : Les fonctionnalités de base / Marchés publics : Signer numériquement ses réponses / Smartphones et Tablettes sous Androïd / Smartphone : Environnement IOS / Tableur : Utilisation de base / Tableur : Utilisation avancée / Signer numériquement des documents administratifs / Traitement de texte : Utilisation de base / Traitement de texte : Utilisation avancée / Tableur : Découverte / Skype / Traitement de texte : Découverte / Pinterest : Découverte / Pinterest : Appronfondissement / Snapchat / Twitter : Approfondissement / Instagram : Découverte / Instagram : Appronfondissement / Facebook : Découverte / Facebook : Appronfondissement / Twitter : Découverte / Photo numérique : usages courants (prise de vue, réglages) / Classer, gérer et partager ses photos / Images : gérer ses photos en ligne / Google Drive : Utilisation / Gérer ses données : Sauvegarde en ligne (dans le cloud) / Gérer ses données : Sauvegardes locales (disques durs externes, clé USB) / Internet : envoyer, recevoir, gérer ses emails / Transférer des fichiers volumineux / Organiser, explorer et partager des contenus numériques / Poste informatique Mac OS / Poste informatique Linux / Internet : paramétrer un réseau wifi / Gérer ses favoris de navigation / Poste informatique Windows / Découvrir des alternatives libres et gratuits aux logiciels / Suivre la scolarité de son enfant / Créer et paramétrer un compte Google / Plateforme La Poste : envoyer et recevoir des courriers / Plateforme La Poste : utiliser le coffre-fort en ligne / Plateforme Ameli.fr : la sécurité sociale en ligne / Ouvrir et gérer son dossier de retraite (CNAF/CARSAT) en ligne / Gérer son abonnement et ses factures d'électricité/gaz en ligne / Gérer ses droits d'assuré social en ligne/sur internet / Gérer ses droits et allocations (CAF...)  en ligne/sur internet / Pôle Emploi : faire ses déclarations en ligne / Déclarer ses revenus en ligne et découvertes des services proposés / Accéder à ses droits sociaux et les gérer en ligne (RSA…) / Plateforme France Connect / Découvrir les services en ligne de l'enfance de votre commune / Fonctionnement des plateformes de musique et de film en ligne / Panorama des outils de travail collaboratif / Marchés publics : panorama des plateformes / Panorama des plateformes d’économie collaborative / Panorama des plateformes de recherche d’emploi / Internet : fonctionnement des clients webmail / Découverte des outils de messagerie instantanée (tchat) / Panorama des outils de webconférence / Panorama des outils du cloud / Panorama d’usages créatifs du numérique / Panorama de la création artistique numérique / Internet : fonctionnement et outils de navigation web / Internet : fonctionnement des emails / Etre parent à l'ère numérique: connaître les usages, jouer son rôle de parent / Utiliser les réseaux sociaux pour sa recherche d'emploi / Découvrir les réseaux sociaux : définition, fonctionnement / Composantes et facettes de l’identité numérique / Panorama des usages numériques des adolescents / Les mécanismes excessifs ou addictifs liés au numérique / Big Data / Open Data : comprendre les données / Les licences libres / Le smartphone : principes de fonctionnement / Internet : comprendre un réseau wifi / Internet : comprendre les principes de fonctionnement / Internet : comprendre une offre internet / Fonctionnement d’une box internet / Les biens communs : principes et enjeux / Neutralité du net : de quoi parle-t-on ? / Les paiements en ligne / Le logiciel libre : principes et enjeux / Téléphonie : comprendre et comparer des offres mobiles / Les outils de protection de l’enfance / Google Drive et solutions alternatives / Principes et fonctionnement du cloud / Comprendre les cultures numériques : usages collaboratifs	04 92 57 24 02 	Veynes
1	3, rue de la gare	21230		47.1306718	4.4913224	CENTRE SOCIAL ET SOCIOCULTUREL DU PAYS D'ARNAY	Internet : fonctionnement et outils de navigation web / Etre parent à l'ère numérique: connaître les usages, jouer son rôle de parent / Suivre la scolarité de son enfant / Internet : envoyer, recevoir, gérer ses emails	03.80.90.17.55	
2	Rue Gustave Gresse	26400		44.715386	5.054418	MJC Centre Social Nini Chaize	Internet : déposer une annonce sur Le Bon Coin ou autre site de petites annonces / Créer, paramétrer et utiliser une liste de diffusion / Gérer ses favoris de navigation / Gérer ses données : Sauvegardes locales (disques durs externes, clé USB) / Plateforme La Poste : envoyer et recevoir des courriers / Plateforme France Connect / Gérer ses droits et allocations (CAF...)  en ligne/sur internet / Les conduites à risques et les bons usages du numérique / Internet : fonctionnement et outils de navigation web / Composantes et facettes de l’identité numérique / Internet : comprendre les principes de fonctionnement / Traitement de texte : Utilisation de base / Tableur : Utilisation de base / Poste informatique Windows / Internet : envoyer, recevoir, gérer ses emails / Découverte des outils de messagerie instantanée (tchat)	04.75.25.14.20	
3	94 Rue Léon Marlot	59100		50.6744954	3.192032	ADEP	Panorama de la création artistique numérique / Découvrir les métiers du numérique / Utilisation d'un emplacement de co-working / Découverte et usage de l’emploi Store / Organiser sa recherche d'emploi / PAO : publier des présentations / diaporamas en ligne / PAO : faire des présentations, des diaporamas / Modélisation 3D / Utiliser des outils de cartographie / Utiliser et contribuer à Wikipedia / Suivre la scolarité de son enfant / Gérer ses droits et allocations (CAF...)  en ligne/sur internet / Gérer ses droits d'assuré social en ligne/sur internet / Découvrir les services en ligne de l'enfance de votre commune / Déclarer ses revenus en ligne et découvertes des services proposés / Internet : comprendre une offre internet / Google Drive et solutions alternatives / Comprendre les cultures numériques : les jeux vidéos  / Images : retoucher ses photos / Images : gérer ses photos en ligne / Classer, gérer et partager ses photos / Diffuser son CV en ligne / Nettoyer son identité numérique / Effacer ses traces sur le web, protéger ses données personnelles / Connaitre et gérer son identité numérique / Internet : déposer une annonce sur Le Bon Coin ou autre site de petites annonces / Découvrir et expérimenter la programmation informatique (code) / Découverte et utilisation imprimante 3D / Créer, paramétrer et utiliser une liste de diffusion / Créer un site web avec WordPress / Les solutions libres pour Les outils bureautiques / Les outils libres pour la navigation Internet / Les outils libres pour gérer ses emails / Les outils disponibles pour sécuriser ses usages numériques / Transférer des fichiers volumineux / Traitement de texte : Utilisation de base / Traitement de texte : Utilisation avancée / Traitement de texte : Découverte / Tableur : Utilisation de base / Tableur : Utilisation avancée / Tableur : Découverte / Skype / Poste informatique Windows / Poste informatique Linux / Organiser, explorer et partager des contenus numériques / Internet : envoyer, recevoir, gérer ses emails / Gérer ses favoris de navigation / Gérer ses données : Sauvegardes locales (disques durs externes, clé USB) / Gérer ses données : Sauvegarde en ligne (dans le cloud) / Google Drive : Utilisation / Facebook : Découverte / Découvrir des alternatives libres et gratuits aux logiciels / Créer et paramétrer un compte Google / Pôle Emploi : faire ses déclarations en ligne / Plateforme La Poste : envoyer et recevoir des courriers / Accéder à ses droits sociaux et les gérer en ligne (RSA…) / Utiliser les réseaux sociaux pour sa recherche d'emploi / Panorama des usages numériques des adolescents / Panorama des plateformes de recherche d’emploi / Panorama des outils du cloud / Panorama des outils de webconférence / Panorama des outils de travail collaboratif / Panorama des objets connectés (Domotique, Sécurité, Santé) / Les conduites à risques et les bons usages du numérique / Internet : fonctionnement et outils de navigation web / Internet : fonctionnement des emails / Internet : fonctionnement des clients webmail / Etre parent à l'ère numérique: connaître les usages, jouer son rôle de parent / Découvrir les réseaux sociaux : définition, fonctionnement / Découverte des outils de messagerie instantanée (tchat) / Composantes et facettes de l’identité numérique / Techniques de vérification de l’information / Principes et fonctionnement du cloud / Les outils de protection de l’enfance / Les licences libres / Le smartphone : principes de fonctionnement / Le logiciel libre : principes et enjeux / Internet : comprendre un réseau wifi / Internet : comprendre les principes de fonctionnement / Comprendre les cultures numériques : usages collaboratifs	03.20.02.79.68	
4	361 rue Saint Nicolas	50400		48.833018	-1.5678272	Animathèque - Centre Social L'Agora	Internet : comprendre les principes de fonctionnement / Internet : comprendre une offre internet / Comprendre les cultures numériques : usages collaboratifs / Fonctionnement d’une box internet / Google Drive et solutions alternatives / Internet : comprendre un réseau wifi / Le smartphone : principes de fonctionnement / Le logiciel libre : principes et enjeux / Les biens communs : principes et enjeux / Les licences libres / Les monnaies virtuelles / Les outils de protection de l’enfance / Les paiements en ligne / Neutralité du net : de quoi parle-t-on ? / Principes et fonctionnement du cloud / Techniques de vérification de l’information / Découvrir les réseaux sociaux : définition, fonctionnement / Composantes et facettes de l’identité numérique / Téléphonie : comprendre et comparer des offres mobiles / Découverte des outils de messagerie instantanée (tchat) / Découvrir l’univers des jeux vidéos / Etre parent à l'ère numérique: connaître les usages, jouer son rôle de parent / Fablab : charte, valeurs et panorama des outils numériques / Fonctionnement des plateformes de musique et de film en ligne / Internet : fonctionnement des clients webmail / Internet : fonctionnement des emails / Marchés publics : panorama des plateformes / Les conduites à risques et les bons usages du numérique / Les mécanismes excessifs ou addictifs liés au numérique / Panorama de la création artistique numérique / Panorama des objets connectés (Domotique, Sécurité, Santé) / Internet : fonctionnement et outils de navigation web / Panorama des outils de travail collaboratif / Panorama des outils de webconférence / Panorama des plateformes de recherche d’emploi / Panorama des plateformes d’économie collaborative / Panorama des outils du cloud / Panorama des usages numériques des adolescents / Panorama d’usages créatifs du numérique / Utiliser les réseaux sociaux pour sa recherche d'emploi / Ouvrir et gérer son dossier de retraite (CNAF/CARSAT) en ligne / Gérer ses droits et allocations (CAF...)  en ligne/sur internet / Déclarer ses revenus en ligne et découvertes des services proposés / Découvrir les services en ligne de l'enfance de votre commune / Gérer ses droits d'assuré social en ligne/sur internet / Facebook : Découverte / Plateforme Ameli.fr : la sécurité sociale en ligne / Gérer son abonnement et ses factures d'électricité/gaz en ligne / Plateforme France Connect / Pôle Emploi : faire ses déclarations en ligne / Plateforme La Poste : utiliser le coffre-fort en ligne / Classer, gérer et partager ses photos / Plateforme La Poste : envoyer et recevoir des courriers / Facebook : Appronfondissement / Créer et paramétrer un compte Google / Découvrir des alternatives libres et gratuits aux logiciels / Google Drive : Utilisation / Gérer ses données : Sauvegarde en ligne (dans le cloud) / Gérer ses données : Sauvegardes locales (disques durs externes, clé USB) / Images : gérer ses photos en ligne / Instagram : Appronfondissement / Gérer ses favoris de navigation / Instagram : Découverte / Internet : envoyer, recevoir, gérer ses emails / Internet : paramétrer un réseau wifi / Organiser, explorer et partager des contenus numériques / Outils numériques pour maîtriser sa consommation énergétique / Photo numérique : usages courants (prise de vue, réglages) / Signer numériquement des documents administratifs / Poste informatique Windows / Smartphones et Tablettes sous Androïd / Poste informatique Mac OS / Skype / Smartphone : Environnement IOS / Smartphone : Les applications clés / Smartphone : Les fonctionnalités de base / Smartphone : Les principaux gestes pour l'écran tactile / Smartphone : Réglage et configuration de l'appareil / Smartphone : Télécharger une application sur les stores / Tableur : Utilisation de base / Suivre la scolarité de son enfant / Tableur : Découverte / Traitement de texte : Découverte / Tableur : Utilisation avancée / Traitement de texte : Utilisation avancée / Transférer des fichiers volumineux / Traitement de texte : Utilisation de base / Twitter : Découverte / Découvrir et contribuer à OpenStreetMap / Organiser et partager sa veille / Utiliser des outils de cartographie / Utiliser et contribuer à Wikipedia / Les alternatives à Facebook / Les alternatives à Google Drive / Les outils disponibles pour sécuriser ses usages numériques / Les outils libres pour gérer ses emails / Les outils libres pour la navigation Internet / Les solutions libres pour Les outils bureautiques / Créer un site web avec WordPress / Créer, paramétrer et utiliser une liste de diffusion / Découverte et utilisation imprimante 3D / Découvrir et participer à des MOOCs / Internet : déposer une annonce sur Le Bon Coin ou autre site de petites annonces / PAO : faire des présentations, des diaporamas / Modélisation 3D / PAO : publier des présentations / diaporamas en ligne / Services et plateformes de démocratie participative / Utiliser des cartes, capteurs et outils interactifs / Vidéo : découvrir le montage vidéo / Connaitre et gérer son identité numérique / Nettoyer son identité numérique / Effacer ses traces sur le web, protéger ses données personnelles / Utilisation d'un emplacement de co-working / Comprendre les cultures numériques : les jeux vidéos 	02.33.50.96.06	
5	285 Rue du Village	26510	"Sahune : mardi de 9h30 à 12h30 et de 17h à 19h, vendredi de 14h à 17h
Rémuzat : lundi de 14h à 16h30, jeudi de 9h30 à 11h45 et vendredi de 9h30 à 11h45
Rosans : lundi de 9h30 à 12h30 et 14h à 17h et jeudi de 9h30 à 12h30 et 14h à 17h
- lundi de 9h30 à 12h30 et de 14h à 17h 
- jeudi de 9h30 à 12h30"	44.4146686	5.2665579	AVENTIC		06 25 23 56 01	SAHUNE
6	30, avenue de zelzate	07200		44.6207405	4.3789172	Cyber-base	Panorama d’usages créatifs du numérique / Réalisation CV / Diffuser son CV en ligne / Nettoyer son identité numérique / Effacer ses traces sur le web, protéger ses données personnelles / Connaitre et gérer son identité numérique / PAO : faire des présentations, des diaporamas / Internet : déposer une annonce sur Le Bon Coin ou autre site de petites annonces / Découvrir et participer à des MOOCs / Créer, paramétrer et utiliser une liste de diffusion / Les solutions libres pour Les outils bureautiques / Les outils disponibles pour sécuriser ses usages numériques / Découvrir et contribuer à OpenStreetMap / Transférer des fichiers volumineux / Traitement de texte : Utilisation de base / Traitement de texte : Utilisation avancée / Traitement de texte : Découverte / Tableur : Utilisation de base / Tableur : Découverte / Suivre la scolarité de son enfant / Skype / Poste informatique Windows / Pinterest : Découverte / Organiser, explorer et partager des contenus numériques / Internet : paramétrer un réseau wifi / Internet : envoyer, recevoir, gérer ses emails / Instagram : Découverte / Images : gérer ses photos en ligne / Gérer ses favoris de navigation / Gérer ses données : Sauvegardes locales (disques durs externes, clé USB) / Gérer ses données : Sauvegarde en ligne (dans le cloud) / Google Drive : Utilisation / Facebook : Découverte / Découvrir des alternatives libres et gratuits aux logiciels / Créer et paramétrer un compte Google / Classer, gérer et partager ses photos / Pôle Emploi : faire ses déclarations en ligne / Plateforme La Poste : envoyer et recevoir des courriers / Plateforme France Connect / Plateforme Ameli.fr : la sécurité sociale en ligne / Ouvrir et gérer son dossier de retraite (CNAF/CARSAT) en ligne / Gérer son abonnement et ses factures d'électricité/gaz en ligne / Gérer ses droits et allocations (CAF...)  en ligne/sur internet / Gérer ses droits d'assuré social en ligne/sur internet / Découvrir les services en ligne de l'enfance de votre commune / Déclarer ses revenus en ligne et découvertes des services proposés / Accéder à ses droits sociaux et les gérer en ligne (RSA…) / Panorama des usages numériques des adolescents / Panorama des plateformes de recherche d’emploi / Panorama des outils du cloud / Panorama des outils de webconférence / Les mécanismes excessifs ou addictifs liés au numérique / Les conduites à risques et les bons usages du numérique / Internet : fonctionnement et outils de navigation web / Internet : fonctionnement des emails / Internet : fonctionnement des clients webmail / Fonctionnement des plateformes de musique et de film en ligne / Etre parent à l'ère numérique: connaître les usages, jouer son rôle de parent / Découvrir l’univers des jeux vidéos / Découvrir les réseaux sociaux : définition, fonctionnement / Découverte des outils de messagerie instantanée (tchat) / Composantes et facettes de l’identité numérique / Techniques de vérification de l’information / Principes et fonctionnement du cloud / Neutralité du net : de quoi parle-t-on ? / Les paiements en ligne / Les outils de protection de l’enfance / Les licences libres / Le logiciel libre : principes et enjeux / Internet : comprendre une offre internet / Internet : comprendre un réseau wifi / Internet : comprendre les principes de fonctionnement / Google Drive et solutions alternatives / Fonctionnement d’une box internet / Comprendre les cultures numériques : usages collaboratifs / Comprendre les cultures numériques : les jeux vidéos  / Big Data / Open Data : comprendre les données	0475358713	AUBENAS
7	8 Grande Rue	38000		45.1924998	5.72859	Demo-TIC	Marchés publics : panorama des plateformes / Utilisation d'un emplacement de co-working / Organiser sa recherche d'emploi / Découvrir les métiers du numérique / Découverte et usage de l’emploi Store / Diffuser son CV en ligne / Nettoyer son identité numérique / Effacer ses traces sur le web, protéger ses données personnelles / Connaitre et gérer son identité numérique / Vidéo : découvrir le montage vidéo / Services et plateformes de démocratie participative / Savoir pitcher son projet en 5 minutes / PAO : publier des présentations / diaporamas en ligne / PAO : faire des présentations, des diaporamas / Internet : déposer une annonce sur Le Bon Coin ou autre site de petites annonces / Images : retoucher ses photos / Découvrir et participer à des MOOCs / Découvrir et expérimenter la programmation informatique (code) / Créer, paramétrer et utiliser une liste de diffusion / Créer un site web avec WordPress / Les solutions libres pour Les outils bureautiques / Les outils libres pour la navigation Internet / Les outils libres pour gérer ses emails / Les outils disponibles pour sécuriser ses usages numériques / Les alternatives à Google Drive / Les alternatives à Facebook / Utiliser et contribuer à Wikipedia / Utiliser des outils de cartographie / Organiser et partager sa veille / Découvrir et contribuer à OpenStreetMap / Twitter : Découverte / Twitter : Approfondissement / Transférer des fichiers volumineux / Traitement de texte : Utilisation de base / Traitement de texte : Utilisation avancée / Tableur : Utilisation avancée / Traitement de texte : Découverte / Tableur : Utilisation de base / Tableur : Découverte / Suivre la scolarité de son enfant / Snapchat / Smartphone : Télécharger une application sur les stores / Smartphone : Réglage et configuration de l'appareil / Smartphone : Les principaux gestes pour l'écran tactile / Smartphone : Les fonctionnalités de base / Smartphone : Les applications clés / Smartphones et Tablettes sous Androïd / Skype / Signer numériquement des documents administratifs / Poste informatique Windows / Poste informatique Mac OS / Poste informatique Linux / Pinterest : Découverte / Pinterest : Appronfondissement / Photo numérique : usages courants (prise de vue, réglages) / Outils numériques pour maîtriser sa consommation énergétique / Organiser, explorer et partager des contenus numériques / Marchés publics : Signer numériquement ses réponses / Internet : paramétrer un réseau wifi / Internet : envoyer, recevoir, gérer ses emails / Instagram : Découverte / Instagram : Appronfondissement / Images : gérer ses photos en ligne / Gérer ses favoris de navigation / Gérer ses données : Sauvegardes locales (disques durs externes, clé USB) / Gérer ses données : Sauvegarde en ligne (dans le cloud) / Google Drive : Utilisation / Facebook : Découverte / Facebook : Appronfondissement / Découvrir des alternatives libres et gratuits aux logiciels / Créer et paramétrer un compte Google / Classer, gérer et partager ses photos / Pôle Emploi : faire ses déclarations en ligne / Plateforme La Poste : utiliser le coffre-fort en ligne / Plateforme La Poste : envoyer et recevoir des courriers / Plateforme France Connect / Plateforme Ameli.fr : la sécurité sociale en ligne / Ouvrir et gérer son dossier de retraite (CNAF/CARSAT) en ligne / Gérer son abonnement et ses factures d'électricité/gaz en ligne / Gérer ses droits et allocations (CAF...)  en ligne/sur internet / Gérer ses droits d'assuré social en ligne/sur internet / Découvrir les services en ligne de l'enfance de votre commune / Déclarer ses revenus en ligne et découvertes des services proposés / Accéder à ses droits sociaux et les gérer en ligne (RSA…) / Utiliser les réseaux sociaux pour sa recherche d'emploi / Panorama d’usages créatifs du numérique / Panorama des usages numériques des adolescents / Panorama des plateformes d’économie collaborative / Panorama des plateformes de recherche d’emploi / Panorama des outils du cloud / Panorama des outils de webconférence / Panorama des outils de travail collaboratif / Panorama des objets connectés (Domotique, Sécurité, Santé) / Panorama de la création artistique numérique / Les mécanismes excessifs ou addictifs liés au numérique / Les conduites à risques et les bons usages du numérique / Internet : fonctionnement et outils de navigation web / Internet : fonctionnement des emails / Internet : fonctionnement des clients webmail / Fonctionnement des plateformes de musique et de film en ligne / Etre parent à l'ère numérique: connaître les usages, jouer son rôle de parent / Découvrir les réseaux sociaux : définition, fonctionnement / Découverte des outils de messagerie instantanée (tchat) / Composantes et facettes de l’identité numérique / Téléphonie : comprendre et comparer des offres mobiles / Techniques de vérification de l’information / Principes et fonctionnement du cloud / Neutralité du net : de quoi parle-t-on ? / Les paiements en ligne / Les outils de protection de l’enfance / Les monnaies virtuelles / Les licences libres / Les biens communs : principes et enjeux / Le smartphone : principes de fonctionnement / Le logiciel libre : principes et enjeux / Internet : comprendre une offre internet / Internet : comprendre un réseau wifi / Internet : comprendre les principes de fonctionnement / Google Drive et solutions alternatives / Fonctionnement d’une box internet / Comprendre les cultures numériques : usages collaboratifs / Big Data / Open Data : comprendre les données	07.86.96.24.65	
8	6 Tenot	33420		44.8219688	-0.2076579	A.I.A.I. (Association pour l'Initiation des Adultes à l'Informatique)	Images : retoucher ses photos / Smartphone : Réglage et configuration de l'appareil / Smartphone : Les fonctionnalités de base / Smartphones et Tablettes sous Androïd / Tableur : Utilisation de base / Traitement de texte : Utilisation de base / Traitement de texte : Découverte / Skype / Gérer ses données : Sauvegardes locales (disques durs externes, clé USB) / Classer, gérer et partager ses photos / Transférer des fichiers volumineux / Internet : envoyer, recevoir, gérer ses emails / Poste informatique Windows / Gérer ses favoris de navigation / Découvrir des alternatives libres et gratuits aux logiciels / Plateforme Ameli.fr : la sécurité sociale en ligne / Gérer son abonnement et ses factures d'électricité/gaz en ligne / Déclarer ses revenus en ligne et découvertes des services proposés / Plateforme France Connect / Internet : fonctionnement des clients webmail / Internet : fonctionnement des emails / Les conduites à risques et les bons usages du numérique / Le smartphone : principes de fonctionnement / Internet : comprendre un réseau wifi / Internet : comprendre les principes de fonctionnement / Les paiements en ligne / Fonctionnement d’une box internet / Téléphonie : comprendre et comparer des offres mobiles / Principes et fonctionnement du cloud	06 73 04 33 34 	GREZILLAC
9	60 rue Elsa Triolet	76600		49.5031615	0.1790507	ANAS Numérique 		0666728638	Le Havre
