sourceur;full_address;Identifiant;Date de dernière modification;Nom;Label;Label Net-Public;Demande de labellisation Net-Public;Site Web;N° et libellé de voie;Code Insee commune;Code postal;Localité;Téléphone;Email;Latitude;Longitude;Précision;Personne à contacter;Services proposés;accompagnement;formation;acces libre;non;ACC NR;Nombre d'animateurs;Numéro DUI;Photo;Statut;Autre label;N° et libellé de voie.1;Horaires d'ouverture;lundi;mardi;mercredi;jeudi;vendredi;samedi;dimanche;JOURS NR;Entrée - Accès [Accessibilité];Équipement;Entrée - Ouverture de porte [Accessibilité];Entrée - Obstacle à la porte d'entrée [Accessibilité];Circulation - Circulation dans les allées [Accessibilité];Circulation - Accès en fauteuil dans tout le lieu [Accessibilité];Circulation - Ascenseurs (dimensions) [Accessibilité];Services et équipements - Sanitaires [Accessibilité];Services et équipements - Personnel formé à l'accueil des personnes en situation de handicap [Accessibilité];Services et équipements - Personnel initié à la langue des signes [Accessibilité];Extérieur - Place de parking réservée [Accessibilité];Extérieur - Places GIC/GIR à proximité [Accessibilité];Extérieur - Transports accessibles à proximité [Accessibilité];Tarif;Photo.1;Photo.2;Photo.3;N° et libellé de voie.2;Code Insee commune.1;Code postal.1;Localité.1;N° et libellé de voie.3;Circulation - Signalétique adaptée [Accessibilité];Services et équipements - Hauteur adaptée des comptoirs / guichets [Accessibilité];services et équipements - Personnel formé à l'accueil des personnes en situation de handicap [Accessibilité];Services et équipements - Place réservée au PMR [Accessibilité];Extérieur - Enseigne suffisamment lisible et visible [Accessibilité];Spécificité territoriale;Circulation - Ascenseurs (adaptations) [Accessibilité];Photo.4;Photo.5;Photo.6;Photo.7;Photo.8;Flux d'actualité;Courriel;Horaires initiations et ateliers;Entrée - Accès contrôlé [Accessibilité];Circulation - Escaliers [Accessibilité];Services et équipements - Visites adaptées aux personnes ayant une déficience [Accessibilité];Entrée - Largeur de porte en cm [Accessibilité];Circulation - Guidage [Accessibilité];Blog;Extérieur - Trottoirs (Obstacles) [Accessibilité];Entrée - En cas de présence d'une marche, préciser sa hauteur en cm [Accessibilité];Rue, Voie, Chemin;Rue, Voie, Chemin.1;Fédération Nationale de Sport Numérique;Ateliers;Espace Public Numérique (EPN des Yvelines);Commentaire;Intitulé;Autre Site Web;Texte long;N° et libellé de voie.4;N° et libellé de voie.5;Code Insee commune.2;Code postal.2;Localité.2;Site Web2;Vidéo;Circulation - Plan du lieu [Accessibilité];NETPUBLIC;Site Web de Formation ORDIDACTIC60;Vidéo.1;Visio-accueil Pôle-Emploi;Le blog de la médiathèque;Fax;Ce flux présente les actualités locales de l'Espace Informatique Cyber-base®;Ce flux affiche les programmes des ateliers qui sont planifiés à l'Espace Informatique Cyber-base®;Services proposés.1;Villes Internet;Accueil de jeunes;Accueil de seniors;Organisation d'évènements;Centre d'Animation des Portes Ferrées;Personne à contacter.1;Image;N° et libellé de voie.6;Mission;latitude;longitude;result_label;result_score;result_type;result_id;result_housenumber;result_name;result_street;result_postcode;result_city;result_context;result_citycode
Gironde;2 Place du Maréchal Leclerc 33440 Ambarès-et-Lagrave;;;Centre Socio culturel la Passerelle;PAPI;;;;2 Place du Maréchal Leclerc;;33440;Ambarès-et-Lagrave;05 56 77 62 64;csclapasserelle@free.fr;;;;;;0;0;0;0;NR;;;;;;;;1;2;3;4;5;6;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44.924353;-0.486005;2 Place du Maréchal Leclerc 33440 Ambarès-et-Lagrave;0.91;housenumber;ADRNIVX_0000000276092867;2;Place du Maréchal Leclerc;;33440;Ambarès-et-Lagrave;33, Gironde, Nouvelle-Aquitaine (Aquitaine);33003
Gironde;5 avenue du docteur Couaillac 33810 AMBES;4f3401aade77fe55ff00063c;14/02/2012;Médiathèque François Mitterrand;Cyber-base;1;0;;5 avenue du docteur Couaillac;33004;33810;AMBES;+33 5 56 77 02 69;biblio@mairie-ambes.fr;45.01154;-0.532559;8;Pierre Chénier;"Accompagnement individuel
Initiation Internet et multimédia
Pratiques culturelles, création artistique 
Accompagnement scolaire, activités éducatives
Recherche d'emploi sur Internet
Démarches administratives";1;27;0;0;;1;10108;;;;;;1;2;3;4;5;6;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;45.011526;-0.532692;5 Avenue du Docteur Gustave Couaillac 33810 Ambès;0.76;housenumber;ADRNIVX_0000000276030717;5;Avenue du Docteur Gustave Couaillac;;33810;Ambès;33, Gironde, Nouvelle-Aquitaine (Aquitaine);33004
Gironde;Centre Georges Brassens Place du 11 Novembre 33810 Ambès;4B;;BIJ;PAPI;Jeunesse;;www.mairie-ambes.fr;Centre Georges Brassens Place du 11 Novembre;4;33810;Ambès;05 56 77 30 56;;brassens26@hotmail.com;;;;;0;0;0;0;NR;;;;;;;;1;2;3;4;5;6;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;45.012885;-0.530562;Place du 11 Novembre 33810 Ambès;0.52;street;33004_XXXX_186aa7;;Place du 11 Novembre;;33810;Ambès;33, Gironde, Nouvelle-Aquitaine (Aquitaine);33004
Gironde;46, Avenue des Colonies 33510 ANDERNOS LES BAINS;4f3401bede77fe55ff0007c5;14/02/2012;E.S.P.O.I.R.;;0;0;http://en cours/;46, Avenue des Colonies;33005;33510;ANDERNOS LES BAINS;+33 5 56 82 01 23;espoir-andernos@wanadoo.fr;44.743952;-1.086503;8;"Jeannine FONCK
Présidente Association E.S.P.O.I.R.
9, avenue J. Moulin 
33510 ANDERNOS LES BAINS";"Accompagnement individuel
Initiation Internet et multimédia
Perfectionnement, accompagnement de projets
Pratiques culturelles, création artistique 
Accompagnement scolaire, activités éducatives
Recherche d'emploi sur Internet
Démarches administratives";1;27;0;0;;1;10537;;;;;;1;2;3;4;5;6;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44.744201;-1.085669;46 Avenue des Colonies 33510 Andernos-les-Bains;0.92;housenumber;ADRNIVX_0000000276426392;46;Avenue des Colonies;;33510;Andernos-les-Bains;33, Gironde, Nouvelle-Aquitaine (Aquitaine);33005
Gironde;52 Avenue des colonies 33510 Andernos-les-Bains 33510 ANDERNOS LES BAINS;4f3401cdde77fe55ff000913;14/02/2012;Club Informatique Andernos Nord Bassin - Association Loi 1901;Espace Public Numérique Bas Normand (EPN BN);1;0;http://clubinfoandernos.canalblog.com/;52 Avenue des colonies 33510 Andernos-les-Bains;33005;33510;ANDERNOS LES BAINS;+33 6 24 86 10 31;clubinfoandernos@gmail.com;44.751283;-1.087887;4;Jean Robert BOS Président;"Accompagnement individuel
Initiation Internet et multimédia
Pratiques culturelles, création artistique 
Accompagnement scolaire, activités éducatives
Recherche d'emploi sur Internet
Démarches administratives";1;27;0;0;;3;2782;;;;;;1;2;3;4;5;6;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44.745307;-1.084365;52 Avenue des Colonies 33510 Andernos-les-Bains;0.6;housenumber;ADRNIVX_0000000276423414;52;Avenue des Colonies;;33510;Andernos-les-Bains;33, Gironde, Nouvelle-Aquitaine (Aquitaine);33005
Gironde;Parc du Broustic 33510 Andernos-les-Bains;5A;;Médiathèque municipale;EPN;Bibliothèque;;wwww.andernoslesbains.fr/mediatheque;Parc du Broustic;5;33510;Andernos-les-Bains;05 56 26 93 85;;mediatheque.andernos@wanadoo.fr;;;Chantal LAMONTAGNE;;0;0;0;0;NR;;;;;;;;1;2;3;4;5;6;7;;;;;;;;;;;;;;;Gratuit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44.746094;-1.095502;Avenue du Broustic 33510 Andernos-les-Bains;0.72;street;33005_XXXX_f525be;;Avenue du Broustic;;33510;Andernos-les-Bains;33, Gironde, Nouvelle-Aquitaine (Aquitaine);33005
Gironde;46 Avenue des Colonies 33510 Andernos-les-Bains;5C;;PIJ – Point de Rencontre Jeunes;PAPI;Jeunesse;;www.andernoslesbains.fr;46 Avenue des Colonies;5;33510;Andernos-les-Bains;05 56 03 08 04;;service-jeunesse-andernos@wanadoo.fr;;;;;0;0;0;0;NR;;;;;;;"Mardi/Vendredi : 9h-12h/14h-19h Samedi : 14h-19h ";1;2;3;4;5;6;7;;;;;;;;;;;;;;;Gratuit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44.744201;-1.085669;46 Avenue des Colonies 33510 Andernos-les-Bains;0.92;housenumber;ADRNIVX_0000000276426392;46;Avenue des Colonies;;33510;Andernos-les-Bains;33, Gironde, Nouvelle-Aquitaine (Aquitaine);33005
Gironde;51 Cours Tartas 33120 ARCACHON;4f3401a5de77fe55ff0005af;14/02/2012;Médiathèque;;0;0;http://www.arcachon.fr/;51 Cours Tartas;33009;33120;ARCACHON;+33 5 56 22 58 47;;44.660679;-1.174457;8;;"Accompagnement individuel
Initiation Internet et multimédia";1;27;0;0;;1;9957;;;;;;1;2;3;4;5;6;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44.660679;-1.173982;51 Cours Tartas 33120 Arcachon;0.93;housenumber;ADRNIVX_0000000354005226;51;Cours Tartas;;33120;Arcachon;33, Gironde, Nouvelle-Aquitaine (Aquitaine);33009
Gironde;8 allée José Maria de Heredia 33120 ARCACHON;4f3401d5de77fe55ff0009d3;14/02/2012;Maison des Jeunes-BIJ;Point Cyb;1;0;http://www.multimania.com/arcachonmmj;8 allée José Maria de Heredia;33009;33120;ARCACHON;+33 5 56 83 19 52;mmjarcachon@hotmail.com;44.656133;-1.168205;8;Christophe TUCCIO et Laurent LABIANO;"Accompagnement individuel
Initiation Internet et multimédia";1;27;0;0;;1;4104;;;;;;1;2;3;4;5;6;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44.655821;-1.168727;Allée José Maria de Heredia 33120 Arcachon;0.88;street;33009_XXXX_91622c;;Allée José Maria de Heredia;;33120;Arcachon;33, Gironde, Nouvelle-Aquitaine (Aquitaine);33009
Gironde;Mairie 33460 Arsac;12A;;Bibliothèque municipale;PAPI;Bibliothèque;;;Mairie;12;33460;Arsac;05 56 58 82 23;;bibliotheque@arsac.fr;;;;;0;0;0;0;NR;;;;;;;;0;0;0;0;0;0;0;NR;;;;;;;;;;;;;;Gratuit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44.996324;-0.688946;Arsac;0.54;municipality;33012;;Arsac;;33460;Arsac;33, Gironde, Nouvelle-Aquitaine (Aquitaine);33012
