Nom;Présentation;Photo;Horaires d'ouverture;Services itinérants;Adresse;Complément d'adresse;Code Postal;Ville;Email de contact;Site internet;Téléphone;Parking à proximité;Accès transports en commun;Plan d'accès;Accessibilité;Lien Facebook;Lien Twitter;Lien Google+;Date de création de la fiche;Date de la dernière modification de la fiche;Pôle emploi;CPAM;CNAV;GRDF;La Poste;MSA;CAF;Agence départementale d'information sur le logement (ADIL);Agence locale de l’énergie (ALE);Banque de France;Cap Emploi;Centre communal d'action sociale (CCAS);Centre intercommunal d’action sociale (CIAS);Centre local d'information et de coordination (CLIC);Centre social;Chambre d'agriculture;Chambre de commerce et d'industrie (CCI);Chambre de métiers et de l'artisanat (CMA);Conseil départemental;Conseil départemental de l’accès au droit (CDAD);Croix-Rouge;Défenseur des droits;EDF;Fédération nationale des accidentés du travail et des handicapés (FNATH);Greta (formation continue pour les adultes);Maison de l'emploi;Maison départementale des personnes handicapées (MDPH);Médecine du travail;Mission locale;Plan local pour l'insertion et l’emploi (PLIE);Point d'accès au droit;Point d'appui à la vie associative;Point Info Famille;Point Info Jeunesse;Point Protection Maternelle Infantile;Préfecture;Protection, Amélioration, Conservation, Transformation de l'habitat (PACT);Régime social des indépendants (RSI);Réseau d'Ecoute, d'Appui et d'Accompagnement des Parents (REAAP);Trésor Public;Union de Recouvrement des Cotisations de Sécurité Sociale et d'Allocations Familiales (URSSAF);Union départementale des associations familiales (UDAF);Autre;Autres partenaires et services;Planning des permanences;Equipements à disposition;Autres équipements;Dans les mêmes locaux;Autres services dans les locaux;Année d'ouverture de la maison;Année de labellisation de la maison;Structure porteuse de la Maison de services au public;Appartenance à un réseau territorial;Connexion avec d'autres Maisons de services au public;Autres labels;Informations complémentaires
Maison du Conseil départemental de Crèvecoeur-le-Grand;La Maison du Conseil départemental de Crèvecoeur-le-Grand est également Maison de Services Au Public. C 'est un service de proximité , un lieu d 'écoute,d 'accompagnement et d'orientation dans lequel on trouve diverses permanences. Vous pouvez obtenir des informations sur les aides départementales (Pass Permis Citoyen, Pass Sport, MDPH, APA, téléassistance, les services sociaux, la PMI...) Vous pouvez prendre des rendez-vous avec nos partenaires. Vous pouvez être accompagné dans vos démarches administratives pour la constitution de vos dossiers, les services en ligne ( CAF, CPAM, MSA ,CARSAT, POLE EMPLOI, MISSION LOCALE, MEF, DGFIP PRÉFECTURE.... ) Un espace numérique est mis à votre disposition avec accompagnement si besoin.;Oui;LUNDI : 14H-17H MARDI : 9H30-12H30 ET 14H-17H MERCREDI : 9H30-12H30 ET 14H-17H JEUDI : 9H30-12H30 ET 14H-17H VENDREDI : 9H30-12H30 ET 14H-17H;Non;24 avenue du Château;;60360;Crèvecœur-le-Grand;mcg-crevecoeur@oise.fr;;0344108230;Oui;;Non;Handicap moteur;;;;12/10/2016;17/04/2018;Oui;Oui;Oui;Non;Non;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Oui;Oui;Non;Non;Oui;Oui;Non;Non;Oui;MEF(Maison Emploi Formation), APCE(Association Pour le Couple et l'Enfant), MDS(services sociaux du Département);Non;Accès Internet|Espace de confidentialité|Fax|Imprimante|Photocopieuse|Scanner|Téléphone|Wifi;SALLE DE RÉUNION;Espace Public Numérique|Relai Assistantes Maternelles (RAM);;05/07/2008;05/07/2008;DEPARTEMENT OISE;;;MAISON DU CONSEIL DEPARTEMENTAL;
Mercoeur;LES MAISONS DE SERVICES AU PUBLIC DU DÉPARTEMENT DE LA CORRÈZE : DES SERVICES PUBLICS AU PLUS PRÈS DE CHEZ VOUS. La MDDSAP de Mercoeur vous accueille les lundis, mercredis et vendredi pour vous accompagner dans toutes vos démarches administratives auprès du Conseil Départemental mais également auprès de ses partenaires nationaux et locaux. Un agent vous accueille, vous informe et vous oriente avec un accompagnement personnalisé dans le montage de vos dossiers, une aide dans l’utilisation des services en ligne, une mise en relation avec des interlocuteurs spécifiques.;Oui;Lundi :  8h30 à 12h30 et de 13h30 à 17h30 Mercredi : 8h30 à 12h30 et de 13h30 à 17h30 Vendredi : 8h30 à 12h30 et de 13h30 à 17h30;Non;Le Bourg;;19430;Mercœur;maisondepartementmercoeur@correze.fr;Site internet;05.19.07.81.25;Oui;;Non;Handicap mental, Handicap moteur;https://www.facebook.com/departementcorreze;;;06/06/2017;07/06/2018;Oui;Oui;Oui;Non;Non;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Offre de services publics départementaux : transport scolaire, APA, action sociale, bourses scolaires, petite enfance, numérique, financement participatif, boost emploi … Autres partenaires : l'Instance de Coordination pour l'Autonomie des Xaintries, la Ligue pour la Protection des Oiseaux en Limousin et le CPIE de la Corrèze.;Oui;Accès Internet|Fax|Imprimante|Photocopieuse|Scanner|Téléphone;Salle de réunion - Bibliothèque;Bibliothèque;;27/04/2007;18/04/2017;Département de la Corrèze;;Beaulieu, Beynat, Eygurande, Saint Privat, Sornac;;
AACA;"L’AACA est un centre social, un lieu ressource, un lieu de convergence des habitants (familles, demandeurs d’emploi, jeunes, associations, bénévoles, partenaires, élus…). Dans le cadre de La Maison de service au public c’est un espace essentiel au renforcement du lien social et des services à la population où tous sont accueillis, écoutés, renseignés, orientés et accompagnés dans leurs projets. Nous accordons une importance particulière aux publics les plus fragiles. Depuis janvier 2016 nous sommes également ""Point relais CAF"".";Oui;Lundi de 10h à 12h et de 14h à 17h Mardi de 9h à 12h Mercredi de 9h à 12h et de 14h à 17h Jeudi de 9h à 12h et de 14h à 17h Vendredi de 9h à 12h;Non;Allée du Château;parc Rochette;73220;Aiguebelle;al.chataux@aacaiguebelle.com;Site internet;04 79 36 37 27 ;Oui;;Non;Handicap auditif, Handicap mental, Handicap moteur, Handicap visuel;;;;24/02/2016;19/06/2018;Oui;Oui;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Oui;Oui;Non;Non;Non;Non;Oui;Non;Non;Non;Oui;AIDER, ADAPT, AMIES Solid'Art;Non;Accès Internet|Espace de confidentialité|Fax|Imprimante|Photocopieuse|Scanner|Téléphone;;Centre social|Relai Assistantes Maternelles (RAM);;;01/06/2011;AACA : Association d'Animation du Canton d'Aiguebelle;ADRETS;;Point relais CAF;
Abondance (Bureau de Poste);Le bureau de poste réunit les services sous un même toit avec une Maison de services au public et devient un véritable lieu d’accueil, d’information, et d’orientation. Le bureau dispose d’un îlot de services au public avec un accès à des services numériques. Les habitants peuvent être accompagnés dans leurs démarches de la vie quotidienne, en lien avec les opérateurs de services publics « essentiels ».;Oui;Mardi : 9h - 12h 14h00 - 17h00 Mercredi : 9h - 12h 14h00 - 17h00 Jeudi : 9h - 12h 14h00 - 17h00 Vendredi : 9h - 12h 14h00 - 17h00 Samedi : 9h - 12h;Non;Place du champ de Foire;;74360;Abondance;msap.abondance@laposte.fr;;;Oui;du lundi au vendredi 9H00/12H00  -  13H30/16H30 samedi 9H00/12H00;Non;Handicap moteur;;;;13/07/2016;08/02/2018;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;;Non;Accès Internet|Espace de confidentialité|Imprimante|Photocopieuse|Scanner|Visio conférence|Wifi;;Bureau de Poste;;13/07/2016;13/07/2016;La Poste;;;;
Abreschviller (Bureau de Poste);Le bureau de poste réunit les services sous un même toit avec une Maison de services au public et devient un véritable lieu d’accueil, d’information, et d’orientation. Le bureau dispose d’un îlot de services au public avec un accès à des services numériques. Les habitants peuvent être accompagnés dans leurs démarches de la vie quotidienne, en lien avec les opérateurs de services publics « essentiels ».;Oui;Lundi : 9h-12h 14h-17h Mardi  : 9h-12h 14h-17h Mercredi  : 9h-12h 14h-17h Jeudi  : 9h-12h 14h-17h Vendredi  : 9h-12h 14h-17h Samedi 9h-12h;Non;3 rue Pierre Marie;;57560;Abreschviller;msap.abreschviller@laposte.fr;;;Oui;;Non;Handicap auditif, Handicap mental, Handicap visuel;;;;04/10/2016;18/04/2018;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Oui;DDFIP Direction Départementale de Finances Publiques;Non;Accès Internet|Espace de confidentialité|Imprimante|Photocopieuse|Scanner|Visio conférence|Wifi;;Bureau de Poste;;02/11/2016;01/11/2016;La Poste;;;;
ADHCo Centre Social - Siège Réseau 10 POM'S;« Depuis sa création en 1985, l’association s’est donné pour buts de réunir et coordonner les forces vives, économiques, sociales et culturelles pour favoriser le développement du canton de Mouthoumet. Puis en 1996, de mettre en place des actions en direction de la jeunesse et dans le cadre de l’éducation populaire et de la culture. » Le projet associatif de l’ADHCo Centre Social des Hautes Corbières repose sur : Le développement territorial du massif de Mouthoumet (la démarche de démocratie participative mise en œuvre par l’ADHCo sur le territoire est souvent prise en référence dans le milieu du développement local) Des services à la personne : en direction des enfants, des jeunes, des adultes et des personnes âgées. Des services en direction des associations du massif de Mouthoumet (accompagnement à la recherche de financement, poll de matériel) La gestion et le développement de 9 points multi-services (POM’S). Les POM’S font partie du centre social et à ce titre sont des relais pour l’ensemble des services proposés par l’association. Un secteur initiatives pour l’environnement : notre équipe d’animateurs, propose des animations d’éducation à l’environnement et au développement durable dans les écoles, collèges et lycées de l’Aude. Le Centre Social ADHCo est un lieu de proximité, ouvert à l’ensemble des habitants, offrant accueil, services, animations et activités à finalité sociale. Des balades découvertes, aux ateliers lecture, en passant par des ateliers créatifs et des évènements culturels… Les animations proposées par l’ADHCo sont variées et accessibles à tous. L’ADHCo développe ses animations et ses activités en fonction d’un projet social élaboré pour les habitants, qui jouent un rôle central dans le choix et les orientations de ses activités.;Non;Lundi  :  9h à 12h30 et 14h à 17h30 Mardi  :  9h à 12h30 et 14h à 17h30 Mercredi  :  9h à 12h30 et 14h à 17h30 Jeudi  :  9h à 12h30 et 14h à 17h30   Vendredi  :  9h à 12h30 et 14h à 17h30;Oui;23 rue de la Gare;;11330;Mouthoumet;adhco.developpement@orange.fr;Site internet;04.68.45.24.53 - 04.68.70.18.53;Oui;Aude Ligne Transport à la demande Transport scolaire;Non;Handicap mental;;;;18/03/2016;15/06/2018;Oui;Oui;Oui;Non;Oui;Oui;Oui;Non;Non;Non;Oui;Non;Oui;Non;Oui;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Oui;Non;Oui;Oui;Oui;Non;Non;Oui;Le Planning Familial de l'Aude CI-DFF (Centre d'Information sur les Droits des femmes et des Familles de l'Aude) Mission Locale Ouest Audois (MLOA);Non;Espace de confidentialité|Fax|Imprimante|Photocopieuse|Scanner|Téléphone;;Centre social;Service d'animation du centre social (Education pour l'environnement et Vie Sociale) : écoles et grand public Service d'aide à domicile Antenne SSIAD - Service de Soins Infirmiers à Domicile Initiation/Formation individuelle à la demande : bases de l'informatique, internet et téléphonie.;01/06/1985;24/06/2009;Association - ADHCo Centre Social;"Réseau Départemental des maisons de Services au Public de l'Aude. Fédération Nationale et Régionale des Centres Sociaux. Réseau GEEAUDE (Groupe d'Education pour l'Environnement de l'Aude). Réseau d'éducation pour l'environnement ""Pour des Pyrénées Vivantes"".";POM'S de LAROQUE DE FA, POM'S de DAVEJEAN, POM's de BOUISSE, POM'S de FELINES-TERMENES, POM'S de LANET, POM'S de MOUTHOUMET, POM'S de SOULATGE, POM'S de VIGNEVIEILLE, POM'S de VILLEROUGE-TERMENES;;
Agence postale Arcy-sur-cure;Bienvenus au Relais de services publics ici vous pouvez : acheter des produits postaux, déposer des envois postaux, retirer vos lettres recommandées et vos colis, bénéficier de services de proximité, effectuer des opérations financières de dépannage : retrait ou dépôt d'espèces. Connexion à Internet en libre accès, démarches administratives facilitées grâce à l'administration électronique, imprimante à disposition.;Non;lundi : 8h30-12h30 mardi : 8h30-12h30 mercredi : fermé jeudi : 8h30-12h30 vendredi : 8h30-12h30 samedi : 9h-11h;Non;1 rue du fossé au veau;;89270;Arcy-sur-Cure;arcy.rsp@orange.fr;;0386819611;Oui;;Non;;;;;24/02/2016;21/06/2018;Oui;Oui;Non;Non;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;;Non;Accès Internet|Espace de confidentialité|Imprimante|Photocopieuse|Scanner|Wifi;;;agence postale communale;;;Commune;;;;
agence postale Cravant - MSAP;Bienvenue dans votre agence. Mise à disposition d'un ordinateur avec accès internet, et d'une imprimante. Je peux aider et diriger les personnes à accéder aux services administratifs, dans la limite de mes compétences. Services postaux.;Non;lundi 8h30-12h30 mardi 8h30-12h30 mercredi 8h30-12h30 jeudi 8h30-12h30 vendredi 8h30-12h30 samedi 9h11h;Non;Rue d'Orléans;;89460;Cravant;cravant.rsp@orange.fr;;03/86/42/23/44;Oui;;Non;;;;;24/02/2016;25/06/2018;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;;Non;Accès Internet|Espace de confidentialité|Imprimante|Photocopieuse|Scanner|Téléphone|Wifi;;Bureau de Poste;;;;Commune;;;;
Agglo Hérault Méditerranée;La MSAP de l'Agglo Hérault est un dispositif porté par la Maison du Travail Saisonnier qui propose un accueil fixe à la MTS du Cap d'Agde, des permanences dans les communes et d'une permanence téléphonique, pour l'ensemble des 20 communes de l'Agglomération.;Oui;Mardi :      9h  - 12h30  //  13h30 - 17h Jeudi :       9h  - 12h30  //  13h30 - 17h Vendredi : 9h  - 12h30  //  13h30 - 17h  ;Oui;Avenue des sergents - CAP D'AGDE;Maison du Travail Saisonnier;34300;Agde;msap@agglohm.net;;04 67 01 24 22;Oui;Cap Bus : Ligne 3 et  Ligne 4;Oui;Handicap moteur;;;;28/09/2017;02/03/2018;Oui;Non;Oui;Non;Non;Oui;Oui;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Services de l'Agglomération (Maison du Travail Saisonnier, Service Emploi Formation, Transport...);Non;Accès Internet|Espace de confidentialité|Imprimante|Photocopieuse|Scanner|Téléphone;;Mairie;;19/06/2017;07/09/2017;Maison du Travail Saisonnier de l'Agglo Hérault Méditerranée;;;;
Aignan (Bureau de Poste);Le bureau de poste réunit les services sous un même toit avec une Maison de services au public et devient un véritable lieu d’accueil, d’information, et d’orientation. Le bureau dispose d’un îlot de services au public avec un accès à des services numériques. Les habitants peuvent être accompagnés dans leurs démarches de la vie quotidienne, en lien avec les opérateurs de services publics « essentiels ».;Oui;Lundi : 9h-12h30 et de 14h-16h30 Mardi : 9h-12h et de 13h30-16h30 Mercredi : 9h-12h30 et de 13h30-16h30 Jeudi : 9h-12h et de 13h30-16h30 Vendredi : 9h-12h et de 13h30-16h30 Samedi : 9h30-12h;Non;Place du Colonel Parisot;;32290;Aignan;msap.aignan@laposte.fr;;;Oui;;Non;Handicap moteur;;;;03/10/2016;24/01/2018;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;téléprocédures;Non;Accès Internet|Espace de confidentialité|Imprimante|Photocopieuse|Scanner|Visio conférence|Wifi;;Bureau de Poste;;01/07/2016;01/07/2016;La Poste;;;;
